Hired in Q1 2023?,Company Name,Location City,Location State,Description,Website,Industry,Company Size
,Bounteous,Chicago,Illinois,"The best digital brand experiences are built on the seamless flow of data, insights, and interactions. Everything we do is designed to optimize that flow so that we create big-picture digital solutions that drive growth for our clients and our business.",https://www.bounteous.com/,Information Technology,500-2000
,Bowtie,Denver,Colorado,"Software development can be costly, inefficient, and confusing. Chasing down contractors or trying to decode a black box is a nightmare. Bowtie is a digital product company that values usability, performance, and intelligent design.",https://bowtie.co/,Computer Software,1-100
,BPX Energy,Denver,Colorado,"After completing a $10.5 billion acquisition of BHP’s American shale assets, BP’s U.S. onshore oil and gas business — known as BPX Energy — took over operations in early 2019 of vast new premium positions in Texas and Louisiana",https://www.bp.com/,Information Technology,2000+
,Breeze Airways,Salt Lake City,Utah,"Welcome to Breeze Airways, a Seriously Nice, new airline. Book your flights now!",http://flybreeze.com,Travel,100-500
,Brewer Digital,Denver,Colorado,"We are a personable, three-person team of full-stack software developers helping startups and businesses build great software. We've helped startups raise hundreds of thousands on Shark Tank and get into other top-tier institutions.",https://www.brewerdigital.com,Computer Software,1-100
,BridgeWorks,Denver,Colorado,"Every project inevitably faces challenges, whether related to budget, resources, scope, schedule, or team dynamics.  BridgeWorks enables your team to move over these treacherous canyons by leveraging best practice tools and techniques, change enablement methodologies and the experience and expertise you would expect in your most trusted and experienced business partners.",https://www.bridgeworkscg.com/,Consultancy,1-100
,Brivity,Bellingham,Washington,"Our mission at Brivity is to empower agents with the ultimate platform that will guarantee their success in the real estate industry. Using cloud-based technology, agents are able to more effectively manage, market, and communicate their business with just one system. Each day, Brivity is constantly growing in aspects that allow us and our customers to continually thrive.

The Brivity Platform is comprised of consumer-facing IDX and branded websites, seller lead generation websites, SMS text capture tools, transaction and listing management, marketing tools, automated lead follow up, virtual tours and single property websites, two-way and drip text messaging, a single-line dialer and CMA and market report tools - all included in the easiest to use and most powerful CRM solution available. Built for the top 1% of agents and teams who are growing and expanding their business but priced so that any agent can afford it. Brivity provides real estate agents with everything they need to run their business.",http://www.brivity.com,Real Estate,100-500
,BroadLoop (formally Meta Construction Technologies),Louisville,Kentucky,"The asphalt industry loses $1B annually due to avoidable trucking related expenses. 20% of the dump trucks used to pave roads/highways are owned by asphalt companies, while 80% are subcontracted from trucking companies. Typical GPS Fleet Management solutions use expensive hardware and are built for companies that own trucks, not companies that subcontract them. Meta Construction Technologies, LLC (www.meta-ct.com) is a construction-tech firm in Louisville, KY that is giving control to the asphalt industry with our innovative Fleet Management & Dispatch software solution, BroadLoop. Asphalt contractors request trucks from preferred trucking vendors directly through our system and then track drivers using our mobile app.",http://www.broadloop.com,Computer Software,1-100
,Broadlume (formally AdHawk),Sarasota,Florida,"Broadlume is the world’s largest provider of digital technology to the flooring industry. With its family of companies — FloorForce, Creating Your Space, Bridgeway Interactive, and FlooringStores — Broadlume is redefining the way flooring is bought and sold.",https://broadlume.com/,Internet,100-500
,Brooksource,Denver,Colorado,IT talent search recruiter.,https://www.brooksource.com/,Recruitment/Staffing,2000+
,BrowserStack,San Francisco,California,"BrowserStack is the most reliable web and mobile app testing platform on the market, used by more than 2 million developers across 135 countries. We empower teams to speed up release cycles and deploy websites and mobile applications that work seamlessly on any user interface.

Users can choose from more than 2,000 on-demand real mobile devices, browsers and operating systems and rely on a secure, stable and scalable infrastructure to support thousands of concurrent manual and automated tests. By reducing the time, cost and maintenance overhead associated with testing, we help software teams keep focus on what matters most - building better products and services with amazing experiences. ",http://www.browserstack.com,Computer Software,500-2000
,BuildDirect Technologies,Vancouver,Canada,"BuildDirect is the first open network for heavyweight products. The network includes the:

1) BuildDirect Home Marketplace -- an online marketplace that offers buyers a wide selection of products at the best value, direct-to-home shipping, free virtual design tools and best-in-class customer service. Sellers are able to leverage the marketplace to showcase and sell their home improvement products directly to consumers, helping homeowners get a simple and more trusted online shopping experience.

2) Gateway Supply Chain -- the first anywhere-to-anywhere supply chain for heavy goods, which equips sellers with unprecedented levels of data to manage their business and improve the overall buyer experience. ",https://www.builddirect.com/,Internet,100-500
,C3LX,Broomfield,Colorado,A patient engagement platform.,https://www.c3lx.com/,Medtech/Healthcare,1-100
,CACI International Inc.,Reston,Virginia,"CACI’s approximately 23,000 talented employees are vigilant in providing the unique expertise and distinctive technology that address our customers’ greatest enterprise and mission challenges. Our culture of good character, innovation, and excellence drives our success and earns us recognition as a Fortune World's Most Admired Company. As a member of the Fortune 1000 Largest Companies, the Russell 1000 Index, and the S&P MidCap 400 Index, we consistently deliver strong shareholder value. Visit us at www.caci.com.
",http://www.caci.com,Consultancy,2000+
,Caddo Minerals,Austin,Texas,"Caddo Minerals, Inc. is an Oil & Gas Investment firm with a focus on producing and non-producing oil and gas mineral interests, royalty interests, ORRI and working interests.  Founded in 2009, Caddo Minerals has acquired mineral and royalty interests throughout the domestic United States.",http://www.CaddoMinerals.com,Oil/Gas,1-100
,Campspot,Denver,Colorado,"The powerful, easy-to-use campground reservation software that optimizes your park's bookings for maximum return.",https://www.campspot.com/,Travel,1-100
,Canix,San Francisco,California,"Canix is a cannabis ERP software and seed to sale platform for cannabis companies. Serving both large commercial operations and single owner-operators, Canix provides a suite of tools for cannabis cultivators, manufacturers, and distributors to operate efficiently while remaining compliant with legislative authorities. The needs of business operators today range from hand-held RFID scanning technology and bluetooth scale integration to comprehensive COGS reporting and financial data. With Canix you have complete control over your inventory and sales data for your operation. Some of the core features include:
- Mobile and Desktop Application
- Inventory Management Tools
- Sales Orders
- Metrc Integration & Compliance Tools
- Yield Reporting
- Bluetooth Scale Integration
- RFID Scanner
- Barcode Printing
- Offline Mode
- Integrations with Quickbooks, Leaflink, OnFleet, and other tools.
- Financial Reporting",https://www.canix.com,Cannabis,1-100
,CaptainU,Denver,Colorado,"More than 2 million athletes have used CaptainU Athlete to follow their dreams of making a great college team. Put your best foot forward, never get stuck, and move forward with confidence.",https://www.captainu.com/,eSports/Sports,1-100
,CardFree,San Francisco,California,"CARDFREE offers complete, integrated commerce solutions to mobilize merchants. Our platform provides end-to end capabilities to engage customers via merchant-branded interfaces such as mGifts, messaging, offers, loyalty, payments, order ahead and social media integration. Our platform integrates mobile, online to POS and comes with a suite of admin tools to manage business logic and view analytics.",http://www.cardfree.com,FinTech/Finance,1-100
,Cardinal Advising,Paradise Valley,Arizona,"Cardinal merges industry knowledge with scientific and academic rigor, taking data analysis in the sports and entertainment industry to the next level.",http://www.cardinaladvising.com,eSports/Sports,1-100
,Care2,Redwood City,California,"Our Promise: Welcome to Care2, the world's largest community for good. Here, you'll find over 45 million like-minded people working towards progress, kindness, and lasting impact.

Care2 Stands Against: bigots, racists, bullies, science deniers, misogynists, gun lobbyists, xenophobes, the willfully ignorant, animal abusers, frackers, and other mean people. If you find yourself aligning with any of those folks, you can move along, nothing to see here.

Care2 Stands With: humanitarians, animal lovers, feminists, rabble-rousers, nature-buffs, creatives, the naturally curious, and people who really love to do the right thing.",https://www.care2.com/,Marketing/Advertising,1-100
,CareRev,Los Angeles,California,"CareRev is a marketplace technology that connects hospitals and health systems and local, vetted healthcare professionals on demand. We help our customers build a more flexible and resilient workforce by lowering premium labor costs, automating staffing operations, and building a modern-day float pool powered by technology.

When a need arises at a facility, staffing managers can use CareRev to quickly post open shifts. Healthcare professionals book shifts within minutes through their CareRev mobile app - no middlemen, no paperwork, no hassle.",https://www.carerev.com/,Medtech/Healthcare,100-500
,CareZone,Seattle,Washington,"Manage your health, without the headache. CareZone is a worry-free way to organize health information and access vital health services.",https://carezone.com/home,Medtech/Healthcare,1-100
,Catalyst Healthcare,"Kelowna, British Columbia",Canada,"Catalyst Healthcare is an award-winning technology company with offices in Canada and United States, dedicated to improving medication adherence and reducing the costs associated with non-adherence to healthcare systems.

Catalyst offers a platform for clinical innovation that allows pharmacists to expand their practice with integrated digital health tools and technologies. Proprietary bar-code scanning technology tracks medication to the dose level in real-time, improving quality and efficiency at every touch point across the medication delivery ecosystem, from wholesaler through to patient.",http://www.catalystrms.com,Medtech/Healthcare,1-100
,Catalyst Repository Systems,Denver,Colorado,"From data identification and collection through production and trial, Catalyst delivers the world’s most efficient, fully integrated platform for discovery and regulatory compliance.",https://catalystsecure.com/,LegalTech,1-100
,Ceatus Media Group,San Diego,California,"Expertise, Experience and Results: Ceatus Media Group provides integrated Internet marketing strategies for leading practices worldwide. Ceatus specializes in helping practices increase their online visibility with services that include search engine optimization (SEO), website design and management, as well as social media enhancement.

Ceatus also owns and operates content-oriented health portals including Consumer Guide to Plastic Surgery, All About Facial Rejuvenation, Breast Implants 4 You, Refractive Surgery News, Consumer Guide to Dentistry, Consumer Guide to Bariatric Surgery and partners in All About Vision. ",http://www.ceatus.com,Information Technology,1-100
,Cecelia Health,New York,New York,"Cecelia Health, formerly Fit4D, is a high-growth, venture-backed health tech services company based in New York City",https://www.ceceliahealth.com,Medtech/Healthcare,100-500
,Centil LLC,Aurora,Colorado,"Centil LLC is a defense consulting firm specializing in ground system development strategies, management and operations.  Centil LLC combines top performers from within the DOD and IC along with best practices, culture and talent from emerging commercial technology.  Our goal is to help teams achieve their objectives of affordability, scalability and responsiveness in today's rapidly evolving threat environment.",http://centil.io,Information Technology,1-100
,Chalk,Ontario,Canada,"Data-Driven Education. Curriculum, Instruction, and Assessment",https://www.chalk.com,EdTech/Education,1-100
,Chameleon,San Francisco,California,"Chameleon allows you to create beautiful product guidance that helps, guides, and delights your users throughout their journey. 

Build, manage and optimize your product tours without writing code. Great for onboarding new users, feature announcements, and reducing support. ",https://www.trychameleon.com,Computer Software,1-100
,Change Healthcare,"Madison, Nashville","Tennessee, Wisconsin","Change Healthcare (Nasdaq: CHNG) is a leading independent healthcare technology company, focused on insights, innovation and accelerating the transformation of the U.S. healthcare system through the power of the Change Healthcare Platform.",https://nationaldecisionsupport.com/,Information Technology,2000+
,charity: water,Hagerstown,Maryland,"charity: water is a non-profit bringing clean and safe drinking water to people in developing nations. Since 2006, we've funded more than 111,000 water projects in 29 developing countries. When complete, these projects will provide clean, safe drinking water for more than 15.5 million people.

771 million people don’t have access to clean drinking water, that's one in ten of us. Diseases from dirty water kill more people every year than all forms of violence, including war.",http://charitywater.org,Nonprofit,100-500
,Charles Schwab,Westlake,Texas,"Charles Schwab is a different kind of investment services firm – one that strives to disrupt the status quo of the traditional Wall Street approach on behalf of our clients. We believe today, as we did on Day 1, that when you find ways to improve the investing experience for your clients, then business results will follow. 

Social Media Disclosures

Brokerage Products: Not FDIC Insured • No Bank Guarantee • May Lose Value

The Charles Schwab Corporation provides a full range of brokerage, banking and financial advisory services through its operating subsidiaries. Its broker-dealer subsidiary, Charles Schwab & Co., Inc. (member SIPC), and its affiliates offer investment services and products. Its banking subsidiary, Charles Schwab Bank (member FDIC and an Equal Housing Lender), provides deposit and lending services and products. Access to Electronic Services may be limited or unavailable during periods of peak demand, market volatility, systems upgrade, maintenance, or for other reasons. The Charles Schwab Corporation does not endorse third-party comments.",http://www.schwab.com,FinTech/Finance,2000+
,Charter Communications/Spectrum,Denver,Colorado,"Charter Communications is America’s fastest growing TV, internet and voice company.",https://www.spectrum.com/,Telecommunications,2000+
,Chatham Financial,Kennett Square,Pennsylvania,"Chatham Financial is the largest, independent financial risk management advisory and technology firm. Founded in 1991, Chatham Financial pioneered the debt and derivatives field, providing clients with access to in-depth knowledge, innovative tools, and an incomparable team to help mitigate risks associated with interest rate, foreign currency, and commodity exposures. Today, the organization of over 600 serves more than 2,500 companies across a wide range of industries — handling roughly $600 billion in transaction volume and helping businesses maximize their value in the capital markets, every day.
",http://www.ChathamFinancial.com,FinTech/Finance,500-2000
,Checkr,"San Francisco, CA; Denver, CO",Colorado,"Checkr’s mission is to build a fairer future by improving understanding of the past. Our platform makes it easy for thousands of customers to hire millions of people every year. Using Checkr’s advanced background check technology, companies of all sizes can better understand the dynamics of the changing workforce, bring transparency and fairness to their hiring, and ultimately build a better future for workers.",https://checkr.com/,Recruitment/Staffing,100-500
,Cherry Creek Schools,Denver,Colorado,School district,https://www.cherrycreekschools.org/,EdTech/Education,500-2000
,Chimpy,Zurich,Switzerland,"The best power bank rental system for convenience stores and their customers. Solar powered, mobile, convenient. Available in thousands of convenience stores in Europe.",https://heychimpy.com,FinTech/Finance,1-100
,Choozle,Denver,Colorado,"Built for agencies, marketers, and publishers, Choozle is a self-service digital advertising software platform with control at its core. Award-winning support and education help you achieve success.",https://choozle.com/,Marketing/Advertising,1-100
,Choreograph,New York,New York,"Choreograph is a global data products and technology company, purpose-built for an era that demands a new approach to data management, usage and brand growth. Powered by a 700+ strong team of data scientists, technologists, product developers and customer success superstars, along with 1000s of data experts across WPP, we create data products and technology that make advertising work better for people.",http://www.choreograph.com/,Marketing/Advertising,100-500
,Church Community Builder,Colorado Springs,Colorado,Our partners use Church Community Builder's church software to organize their ministry and empower their people – their way.,https://www.churchcommunitybuilder.com,Computer Software,1-100
,Cinebody,Denver,Colorado,Cinebody is collaborative video technology that makes it easy for any brand on earth to create content at the speed of social.,https://www.cinebody.com,Computer Software,1-100
,CIRES (Cooperative Institute for Research in Environmental Sciences),Boulder,Colorado,The Cooperative Institute for Research in Environmental Sciences is a research institute that is sponsored jointly by the National Oceanic and Atmospheric Administration Office of Oceanic and Atmospheric Research and the University of Colorado Boulder.,https://cires.colorado.edu/,GreenTech,100-500
,Cisco,"Multiple, International",Multiple,All things communication and connecting technology.,https://www.cisco.com/,Computer Software,2000+
,Citizens Bank,Providence,Rhode Island,"At Citizens Bank, we recognize that the journey to accomplishment is no longer linear and that individuals are made of all they have done and all they are going to do. As one of the oldest and largest financial services firms in the United States with a history dating back to 1828, we’re committed to providing solutions and expertise that support our customers, clients, colleagues, and communities in what’s next on their own unique journey.",http://www.citizensbank.com,FinTech/Finance,2000+
,City and County of Denver,Denver,Colorado,City and County of Denver,https://www.denvergov.org/content/denvergov/en/denver-human-resources.html,CivicTech/Government,2000+
,City Electric Supply,Remote,Remote,"City Electric Supply (CES) is a family-owned electrical wholesale distributor that provides personalized customer service. We offer electrical supplies such as wiring, tools, and lighting. Our dedicated specialized service teams support projects of all sizes in residential, commercial, industrial, energy management, and more.

At CES, we strive to earn your business by providing a level of customer service that is second to none. The company was founded by Tom Mackie in the United Kingdom in 1951 and expanded to the United States in 1983. More than seven decades later, Mr. Mackie’s principle of empowering employees to make local business decisions continues to provide customers with locally tailored services and the flexibility they’ve come to expect.

With more than 500 locations across the U.S., the CES team is dedicated to providing unparalleled dependability, quality, and service.","http://www.cityelectricsupply.com
",Retail,2000+
,CityBase Inc,Chicago,Illinois,"CityBase makes government and utilities easier for everyone. The CityBase platform equally serves people who want to complete a task from their phones, those who are unbanked and must pay a bill in cash, and the public servants who keep government and utilities running smoothly. Today, more than 100 agencies, utilities, cities, and counties use our soft ware to bring hassle-free payments and online services to their customers.",http://www.thecitybase.com,CivicTech/Government,1-100
,ClarionDoor,"Santa Barbara, CA, Philadelphia, PA","California, Pennsylvania","ClarionDoor is the provider of the most intelligent insurance product distribution software for rating, quoting, and issuance with a multitude of customers live today across the United States, Australia, New Zealand, and the United Kingdom. Our breakthrough API-first, cloud-native technology enables MGAs, brokers, carriers, program administrators, and wholesalers to rate, quote, and issue for any line of business; getting them live in weeks, and liberating them to focus on innovation, not implementation.",https://clariondoor.com,Computer Software,1-100
,Clean Energy Buyers Association (CEBA),"Boulder, CO; Washington DC","Colorado, District of Columbia","REBA is an alliance of large clean energy buyers, developers, and service providers that, together with NGO partners, are unlocking the marketplace for all nonresidential energy buyers to lead a rapid transition to a cleaner, prosperous, zero-carbon energy future.",https://rebuyers.org/,GreenTech,1-100
,ClearChoice Dental Implant Centers,Greenwood Village,Colorado,"ClearChoice Dental Implant Centers are locally owned and operated by licensed dentists, and are part of a professional affiliation of implant practices operated by oral surgeons, prosthodontists, and restorative dentists across the U.S.",https://www.clearchoice.com/,Medtech/Healthcare,500-2000
,Cloverhound,Charlotte,North Carolina,Your trusted real-time collaboration development and services partner,https://cloverhound.com/,Information Technology,1-100
,Club Soda,San Jose,California,"Why We Exist: 
 
We believe sobriety is a spectrum of sober, sober curious people and those who live consciously. Club Soda is exclusive without excluding. If other dating apps have felt too superficial, too chaotic, or just too drunk, Club Soda is for you!
 
Our Story:

The Club Soda story began in October of 2016 on the island of Savu Savu, Fiji, where our founder Jennique Mason was celebrating her birthday with a girlfriend. Sipping club sodas (with lime, natch) on the beach one evening, the two swapped horror stories about trying to meet people without dating culture’s favorite social lubricant. They realized they face the same issues: most people’s first suggestion was to meet at a bar, often strangers questioned their lifestyle choices before they even met and that sometimes, dates just showed up already drunk! These shared experiences begged the question: why isn’t there an app for people who want to date conscious rather than blacked out?",http://www.meetclubsoda.com,Dating App,1-100
,Coalesce.io,San Francisco,California,Transforming your data has never been easier.,http://www.coalesce.io,Computer Software,1-100
,Coassemble,Remote,Remote,"Coassemble is an online training tool that connects people with the information they need – anytime, anyplace.",https://coassemble.com,EdTech/Education,1-100
,Coastal Cloud,Palm Coast,Florida,We creatively apply the latest cloud-based technologies to help our clients be more successful.,http://www.CoastalCloud.US,Information Technology,100-500
,Code the Dream,Remote,Remote,"~ a socially impactful training program & dev shop powered by a diverse community of coders from immigrant and low-resourced backgrounds ~

Code the Dream's innovative boot camp trains students from diverse backgrounds how to code and provides a gateway to the tech industry. Graduates then get the opportunity to apply for a competitive apprenticeship in Code the Dream Labs.

Code the Dream Labs apprentices learn from mentors in the tech industry, meet startup founders and get a sense for how they could make their own dreams a reality — by working on real world projects to benefit the community and learning what it means to be a professional software developer or one day start their own business.

Together we can lead the way — growing the type of vibrant economy that can only flourish with the inclusion of all our diverse communities. Code the Dream is an opportunity for all of us.",http://www.codethedream.org/,Nonprofit,1-100
,Cognizant,Boulder,Colorado,"Cognizant is one of the world's leading professional services companies, transforming clients'​ business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 194 on the Fortune 500 and is consistently listed among the most admired companies in the world.",https://www.cognizant.com/accelerator,Information Technology,2000+
,Coin Cloud,Las Vegas,Nevada,Coin Cloud is the easiest way to buy and sell Bitcoin and many other popular altcoins using cash.,https://www.coincloudatm.com/,FinTech/Finance,1-100
,Coinbase,San Francisco,California,"Coinbase is a digital currency wallet and platform where merchants and consumers can transact with new digital currencies like bitcoin, ethereum, and litecoin. Our vision is to bring more innovation, efficiency, and equality of opportunity to the world by building an open financial system. Our first step on that journey is making digital currency accessible and approachable for everyone. Two principles guide our efforts. First, be the most trusted company in our domain. Second, create user-focused products that are easier and more intuitive to use.",http://www.coinbase.com,FinTech/Finance,500-2000
,Colorado Department of Health Care Policy and Finance,Denver,Colorado,"We administer Health First Colorado (Colorado's Medicaid Program), Child Health Plan Plus, and other health care programs.",https://www.colorado.gov/hcpf,"Medtech/Healthcare, FinTech/Finance",100-500
,Colorado Public Radio,Denver,Colorado,"Colorado Public Radio (CPR) is a 501(c) (3) organization that produces and curates in-depth and meaningful news and music, establishing thoughtful connections to Colorado for listeners seeking to be informed, enlightened and entertained. Roughly 95 percent of CPR’s funds come from the private support of listeners, businesses and foundations.

CPR News delivers in-depth, insightful and impartial news and information from around the world, across the nation and throughout Colorado, examining its relevance to our state and connecting it to our community.

CPR Classical takes listeners on an in-depth exploration of thoughtfully curated music – with an emphasis on Colorado’s classical community – providing context to a broad range of meaningful and compelling works from past to present.

CPR’s OpenAir takes listeners inside the world of new and independent music – exposing them to up-and-coming artists and highlighting Colorado’s local music scene.",http://www.cpr.org,News/Media,100-500
,Colorado Rockies,Denver,Colorado,Colorado baseball team,https://www.mlb.com/rockies,eSports/Sports,100-500
,Comcast (Xfinity),Denver,Colorado,All things technology,https://www.xfinity.com/,Telecommunications,2000+
,Common Curriculum,Denver,Colorado,"Cc makes your lesson planning more flexible than ever. Quickly rearrange the parts of a lesson, drag an activity you didn’t finish to tomorrow’s lesson, or even shift your lessons forward or back!",https://www.commoncurriculum.com/,EdTech/Education,1-100
,CommSafe AI,San Diego,California,"Founded in 2015, CommSafe AI is an African American and disabled veteran-owned  technology company that helps companies keep communications safe 24/7.  Our flagship technology is an AI communications analysis system that helps companies identify and mitigate toxic communication in the workplace before it escalates, including bullying, harassment, sexual harassment, Title IX violations, aggression, escalated conflict, threats, discrimination, and violence. 

These problems cost US businesses nearly $600 billion annually. The CommSafe [ai]™ System helps ensure a safe and inclusive communication space, increase mutual trust and respect, and uphold your team's shared values. Please visit commsafe.ai for more information, or book a time to speak with us.",http://www.commsafe.ai,Computer Software,1-100
,Computer Aid Inc.,Allentown,Pennsylvania,"CAI is a leading business technology services firm committed to helping private and public organizations drive value‭, ‬improve productivity‭, ‬and enhance customer experience‭. ‬Our firm specializes in digital transformation services‭, ‬including application management‭, ‬strategy and consulting‭, ‬intelligent automation‭, ‬contingent workforce solutions‭, ‬IT service management and business analytics‭. ‬Founded in 1981‭ ‬and headquartered in Allentown‭, ‬PA‭, ‬CAI is a privately held company with offices throughout North America‭ ‬and the Asia-Pacific region‭. ‬We make up a diverse and innovative global team known for providing right-sized strategy‭, ‬solutions and ongoing support for our customers‭.‬",https://www.cai.io/,Information Technology,500-2000
,Concept3D,Denver,Colorado,Create interactive virtual experiences that feel as real as being there.,https://www.concept3d.com/,Computer Software,1-100
,Conga,Broomfield,Colorado,"Conga is the leader in end-to-end Digital Document Transformation. From collaboration and creation, through contract management and negotiation, to agreement and e-signature, the Conga Suite has set the standard for automating business productivity and CRM investment through end-to-end Digital Document Transformation. The Conga Suite, which includes Conga Composer, Conga Collaborate, Conga Contracts, Conga Grid, Conga Sign, Conga Orchestrate and Conga AI, drives segment-leading ROI by simplifying and automating intelligent data, documents, contracts, signing, and reporting outcomes.",http://www.conga.com,Information Technology,500-2000
,"Connekt, Inc",San Francisco,California,"Connekt’s patented, AI-driven platform has powered millions of smart TV ad, content and commerce experiences.",http://www.connekt.com/,Internet,1-100
,ConsenSys Mesh,Remote,Remote,"ConsenSys is a global blockchain technology company building the infrastructure, applications, and practices that enable a decentralized world.",https://mesh.xyz/,Computer Software,1-100
,Conversant,Chicago,Illinois,Digital marketing,https://www.conversantmedia.com/,Marketing/Advertising,500-2000
,CorpAxe,New York,New York,"CorpAxe is the world leader in corporate access and resource management solutions for the investment community. The CorpAxe suite of products allows investors to discover, originate, manage, and value resources critical to the investment process, while meeting the demands of a rapidly changing regulatory environment.",https://www.corpaxe.com/,FinTech/Finance,1-100
,Cortico,Boston,Massachusetts,"A non-profit 501(c)(3) in cooperation with the MIT Center for Constructive Communication, Cortico brings together human listening and machine learning to fuel public processes and community decision-making. Our online platform, Local Voices Network (LVN), gathers the complex and nuanced stories of people who have historically been underrepresented in policy making and the media. Our analytics tools distill key themes from recorded conversations, enabling our partners to lift up representative perspectives in the voices of real people.

Partner organizations value LVN’s capacity for connecting them more deeply with stakeholders and sparking the potential for further engagement while documenting the conversation in a searchable and accessible online format. As we grow our reach and impact, we are looking for new partners who are passionate about harnessing community powered understanding to achieve their impact aims.

",http://www.cortico.ai,Consultancy,1-100
,Corvus Insurance,Boston,Massachusetts,"Corvus Insurance is a leading provider of commercial insurance products built on advanced data science, with an AI-driven approach to empowering brokers and policyholders to better predict and prevent loss. With each Smart Commercial Insurance® policy, Corvus supplies proprietary Dynamic Loss Prevention® reports to inform policyholders of critical risk areas and provide actionable security recommendations. Founded in 2017, Corvus is comprised of a team of veteran entrepreneurs from the insurance and technology industries.",http://corvusinsurance.com,Insurance,100-500
,Coupa Software,San Mateo,California,Coupa Software (NASDAQ:COUP) is the cloud platform for business spend management (BSM). Coupa empowers companies around the world with the visibility and control they need to spend smarter and safer.,http://www.coupa.com,Computer Software,2000+
,Covered Insurance,Denver,Colorado,"Covered - The smarter, simpler, insurance marketplace. We're a modern independent insurance agency helping you easily buy the best home and auto insurance at the best price in minutes.

We're simplifying insurance shopping. Quickly compare rates from different insurance carriers, adjust your coverage, and purchase a policy - all in one place.

By combining the latest technology with a human touch, we give you a digital 'human-like'​ experience where you can shop and buy with confidence. If you have questions, our highly trained agents will give you amazing service and support whichever way you want: text, call, email, or online chat.
",https://www.itscovered.com/,Insurance,1-100
,Crawford & Co,Atlanta,Georgia,"Crawford & Company(R) (www.crawco.com) is the world's largest publicly listed independent provider of claims management and outsourcing solutions to carriers, brokers and corporates, with an expansive global network serving clients in more than 70 countries. The company’s shares are traded on the NYSE under the symbols CRD-A and CRD-B.",https://www.crawco.com,Insurance,2000+
,CRB Group,Kasas City,Missouri,"CRB is a leading provider of sustainable engineering, architecture, construction and consulting solutions to the global life sciences and advanced technology industries. Our more than 1,000 employees provide best-in-class solutions that drive success and positive change for our clients, our people and our communities. CRB is a privately held company with a rich 35-year history of serving clients throughout the world, consistently striving for the highest standard of technical knowledge, creativity and execution.
",https://www.crbgroup.com/,Construction,2000+
,Credera,Addison,Texas,"Credera is a consulting firm focused on strategy, transformation, data, and technology with approximately 700 consultants around the globe who daily live out our mission to make an extraordinary impact on our clients, people, and communities. 

Founded in 1999, Credera is headquartered in Dallas, TX and hosts offices in Houston, Denver, Chicago, New York, London, Manchester, Los Angeles, Singapore, and Leeds. ",http://www.credera.com,Consultancy,500-2000
,Credly,New York,New York,"Credly is helping the world speak a common language about people’s knowledge, skills, and abilities. Thousands of employers, training organizations, associations, certification programs, and workforce development initiatives use Credly to help individuals translate their learning experiences into professional opportunities using trusted, portable, digital credentials. We empower organizations to attract, engage, develop, and retain talent with enterprise-class tools that generate data-driven insights to address skills gaps and highlight opportunities through an unmatched global network of credential issuers. Unleash the workforce.",https://info.credly.com/,Internet,1-100
,Crisis Text Line,New York,New York,"Millions of people are quietly suffering every day. They quietly struggle with depression, anxiety, eating disorders, bullying, suicidal thoughts, and more. Crisis Text Line provides free, 24/7 support for people in crisis in the United States via a medium people already use and trust: text. And we use insights from our work to develop and share innovations in prevention, treatment, and long-term care.

Crisis Text Line trains volunteers (like you!) to support people in crisis. With over 70 million crisis messages processed to date, the org is growing quickly, and so is the need.
",http://www.crisistextline.org,Nonprofit,2000+
,Criteria Corp,West Hollywood,California,"Criteria is an assessment company dedicated to helping organizations make better talent decisions using objective, multidimensional data. By combining leading-edge data science with rigorous validation backed by I/O psychologists, we provide the most precise assessments available. Our suite of assessments is the most comprehensive on the market and covers aptitude, personality, emotional intelligence, and skills to provide the most robust picture of talent. Since launching in 2006, our assessments have been administered more than 25 million times through our user-friendly platform.
",http://www.criteriacorp.com/,Computer Software,100-500
,Crossover Health,San Clemente,California,"We chose to change healthcare, not because it is easy, but because it was broken. 
Doctors paid for procedures rather than time spent with patients.
Technology and data collected at every step, but not connected to care.
Employers who provide benefits, yet can’t control costs or outcomes.",http://www.crossoverhealth.com/,Medtech/Healthcare,500-2000
,CrowdAI,San Francisco,California,CrowdAI’s vision is to lead the next industrial transformation with AI. We empower anyone to create and deploy custom AI solutions for maximizing value from visual data.,https://crowdai.com/,Computer Software,1-100
,Crowdbotics,Berkeley,California,"Crowdbotics uses a combination of machine learning and expert developers to help both technical and non-technical teams build complex software applications faster. 

Crowdbotics is a remote-first company with a small headquarters in Berkeley, CA.",https://crowdbotics.com/,Computer Software,100-500
,CrowdStrike,Sunnyvale,California,"CrowdStrike is the leader in cloud-delivered next-generation endpoint protection. CrowdStrike has revolutionized endpoint protection by being the first and only company to unify next-generation antivirus (AV), endpoint detection and response (EDR), and a 24/7 managed hunting service — all delivered via a single lightweight agent. 

Many of the world’s largest organizations already put their trust in CrowdStrike, including three of the 10 largest global companies by revenue, five of the 10 largest financial institutions, three of the top 10 health care providers, and three of the top 10 energy companies.",http://www.crowdstrike.com,Security,2000+
,CrownPeak,Denver,Colorado,We empower marketers to bring bold and fresh creative ideas to life,https://www.crownpeak.com/,Computer Software,100-500
